#Data tag : 19v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.053513704,0.050239488
273302:4919,05/13/16 02:13:38,459,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.017011130,0.016319202
273402:4924,05/14/16 01:49:19,193,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.006960093,0.006584577
273403:4924,05/14/16 03:05:27,53,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.001918050,0.001820959
273404:4924,05/14/16 03:31:50,18,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.000646817,0.000610803
273405:4924,05/14/16 03:42:33,24,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.000859523,0.000799114
273406:4924,05/14/16 03:56:09,112,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.003952616,0.003773872
273408:4924,05/14/16 04:52:04,6,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.000208321,0.000180195
273409:4924,05/14/16 04:56:41,309,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.010508778,0.009442193
273410:4924,05/14/16 06:59:49,90,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.002970413,0.002729405
273411:4924,05/14/16 07:38:50,29,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.000784747,0.000734875
273425:4925,05/14/16 11:17:57,671,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.028098970,0.026716964
273446:4926,05/14/16 20:06:55,33,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.002289446,0.002140646
273447:4926,05/14/16 20:26:09,411,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.027217481,0.025912129
273448:4926,05/14/16 23:11:51,391,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.023818146,0.022661434
273449:4926,05/15/16 01:50:28,208,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.011937811,0.011394742
273450:4926,05/15/16 03:19:37,643,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.033610879,0.032182646
273492:4930,05/16/16 09:07:35,265,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.012673131,0.012131444
273493:4930,05/16/16 10:55:49,230,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.010778562,0.010359205
273494:4930,05/16/16 12:28:40,192,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.008715403,0.008433105
